    名称,所属行业,代码
通威股份,光伏设备,600438
诚迈科技,软件开发,300598
海波重科,建筑装饰,300517
华媒控股,文化传媒,000607
九鼎投资,多元金融,600053
艾为电子,半导体,688798
易普力,化学制品,002096
北路智控,软件开发,301195
春风动力,汽车服务及其他,603129
爱柯迪,汽车零部件,600933
汉森制药,中药,002412
汉马科技,汽车整车,600375
软通动力,IT服务,301236
诺力股份,工程机械,603611
上海合晶,半导体,688584
威尔药业,化学制药,603351
湖南投资,公路铁路运输,000548
中牧股份,养殖业,600195
中信海直,机场航运,000099
海澜之家,服装家纺,600398
*ST传智,教育,003032
东北制药,化学制药,000597
海鸥股份,通用设备,603269
博隆技术,专用设备,603325
盘龙药业,中药,002864
英诺特,医疗器械,688253
嵘泰股份,汽车零部件,605133
风范股份,电网设备,601700
中国银河,证券,601881
启明星辰,软件开发,002439
新城市,建筑装饰,300778
克明食品,食品加工制造,002661
华创云信,证券,600155
中创智领,专用设备,601717
长高电新,电网设备,002452
我乐家居,家居用品,603326
三鑫医疗,医疗器械,300453
沃尔核材,其他电子,002130
恒盛能源,电力,605580
中恒集团,中药,600252
金埔园林,建筑装饰,301098
兴森科技,元件,002436
TCL中环,光伏设备,002129
美丽生态,建筑装饰,000010
天下秀,文化传媒,600556
敦煌种业,种植业与林业,600354
元祖股份,食品加工制造,603886
广信材料,电子化学品,300537
齐峰新材,造纸,002521
人民网,文化传媒,603000
齐翔腾达,石油加工贸易,002408
晨光新材,化学制品,605399
星球石墨,专用设备,688633
上海沿浦,汽车零部件,605128
铁建重工,工程机械,688425
德固特,专用设备,300950
ST东时,教育,603377
小方制药,化学制药,603207
西域旅游,旅游及酒店,300859
万和电气,厨卫电器,002543
东方创业,贸易,600278
中信建投,证券,601066
威高血净,医疗器械,603014
海陆重工,其他电源设备,002255
中国中车,轨交设备,601766
沪光股份,汽车零部件,605333
首航新能,光伏设备,301658
江海股份,元件,002484
广电电气,电网设备,601616
百诚医药,医疗服务,301096
ST太重,专用设备,600169
亚邦股份,化学制品,603188
金能科技,化学原料,603113
坤泰股份,汽车零部件,001260
亿华通-U,电池,688339
和展能源,风电设备,000809
广汽集团,汽车整车,601238
保税科技,物流,600794
均普智能,自动化设备,688306
东瑞股份,养殖业,001201
渝 开 发,房地产,000514
耀皮玻璃,建筑材料,600819
好当家,养殖业,600467
津投城开,房地产,600322
天目药业,中药,600671
华阳国际,建筑装饰,002949
亚辉龙,医疗器械,688575
华发股份,房地产,600325
抚顺特钢,钢铁,600399
ST逸飞,自动化设备,688646
索菱股份,汽车零部件,002766
佛慈制药,中药,002644
玲珑轮胎,汽车零部件,601966
柏诚股份,建筑装饰,601133
恒立液压,工程机械,601100
智微智能,计算机设备,001339
醋化股份,化学制品,603968
生 意 宝,文化传媒,002095
优彩资源,化学纤维,002998
申万宏源,证券,000166
百洋医药,医药商业,301015
新华传媒,文化传媒,600825
京新药业,化学制药,002020
ST人福,化学制药,600079
三只松鼠,食品加工制造,300783
广东建科,其他社会服务,301632
台华新材,纺织制造,603055
帝欧水华,家居用品,002798
中信证券,证券,600030
健麾信息,自动化设备,605186
华辰装备,通用设备,300809
瑞芯微,半导体,603893
杭华股份,化学制品,688571
河钢股份,钢铁,000709
国际医学,医疗服务,000516
永达股份,工程机械,001239
恒大高新,化学制品,002591
ST尔雅,服装家纺,600107
浪莎股份,服装家纺,600137
红墙股份,化学制品,002809
影石创新,消费电子,688775
金明精机,专用设备,300281
东软集团,IT服务,600718
普莱柯,养殖业,603566
海南瑞泽,建筑材料,002596
弘景光电,光学光电子,301479
红太阳,农化制品,000525
中船科技,风电设备,600072
广东鸿图,汽车零部件,002101
中材国际,建筑装饰,600970
盐 田 港,港口航运,000088
天娱数科,文化传媒,002354
宏华数科,专用设备,688789
鑫源智造,工业金属,600615
国电南自,电网设备,600268
威派格,专用设备,603956
永安期货,多元金融,600927
南  玻Ａ,建筑材料,000012
美盈森,包装印刷,002303
上海莱士,生物制品,002252
皖仪科技,通用设备,688600
新巨丰,包装印刷,301296
林州重机,专用设备,002535
养元饮品,饮料制造,603156
数码视讯,IT服务,300079
西藏药业,生物制品,600211
松霖科技,家居用品,603992
中顺洁柔,美容护理,002511
梦百合,家居用品,603313
宝地矿业,钢铁,601121
和仁科技,软件开发,300550
*ST新研,专用设备,300159
高乐股份,家居用品,002348
爱普股份,化学制品,603020
新媒股份,文化传媒,300770
海普瑞,化学制药,002399
南方传媒,文化传媒,601900
世盟股份,物流,001220
士兰微,半导体,600460
三 力 士,橡胶制品,002224
三一重工,工程机械,600031
卫光生物,生物制品,002880
香溢融通,多元金融,600830
凯莱英,医疗服务,002821
红四方,农化制品,603395
中国国贸,房地产,600007
华亚智能,半导体,003043
建发致新,医药商业,301584
飞鹿股份,化学制品,300665
无线传媒,文化传媒,301551
国脉科技,通信服务,002093
首创证券,证券,601136
中力股份,工程机械,603194
海兴电力,电网设备,603556
新华百货,零售,600785
华海药业,化学制药,600521
天元股份,包装印刷,003003
安凯客车,汽车整车,000868
浙江鼎力,工程机械,603338
爱科赛博,其他电源设备,688719
贵广网络,文化传媒,600996
万泰生物,医疗器械,603392
力芯微,半导体,688601
国金证券,证券,600109
速达股份,专用设备,001277
红棉股份,饮料制造,000523
ST任子行,软件开发,300311
晨丰科技,光学光电子,603685
标准股份,专用设备,600302
派林生物,生物制品,000403
华金资本,多元金融,000532
迈克生物,医疗器械,300463
丰元股份,电池,002805
巨化股份,化学制品,600160
中航沈飞,军工装备,600760
恒力石化,石油加工贸易,600346
绿岛风,通用设备,301043
天玛智控,自动化设备,688570
国机通用,专用设备,600444
中汽股份,汽车服务及其他,301215
中科电气,电池,300035
大中矿业,钢铁,001203
晶瑞电材,电子化学品,300655
钢研纳克,其他社会服务,300797
大烨智能,电网设备,300670
苏宁环球,房地产,000718
西南证券,证券,600369
新通联,包装印刷,603022
世名科技,化学制品,300522
深水规院,建筑装饰,301038
中信重工,专用设备,601608
曙光股份,汽车整车,600303
长江证券,证券,000783
科美诊断,医疗器械,688468
威龙股份,饮料制造,603779
国芯科技,半导体,688262
新华制药,化学制药,000756
思美传媒,文化传媒,002712
长缆科技,电网设备,002879
箭牌家居,家居用品,001322
湖南天雁,汽车零部件,600698
汇创达,光学光电子,300909
上海雅仕,物流,603329
云维股份,贸易,600725
共创草坪,家居用品,605099
华域汽车,汽车零部件,600741
中策橡胶,汽车零部件,603049
和顺石油,石油加工贸易,603353
绿盟科技,软件开发,300369
鱼跃医疗,医疗器械,002223
融发核电,其他电源设备,002366
中视传媒,影视院线,600088
山东赫达,化学制品,002810
杭萧钢构,建筑装饰,600477
华达科技,汽车零部件,603358
东方材料,化学制品,603110
太龙药业,中药,600222
*ST智胜,软件开发,002253
青岛金王,家居用品,002094
中远海特,港口航运,600428
蓝科高新,专用设备,601798
阳光照明,光学光电子,600261
ST思科瑞,军工电子,688053
蓝英装备,专用设备,300293
迪瑞医疗,医疗器械,300396
东航物流,物流,601156
蕾奥规划,建筑装饰,300989
*ST摩登,服装家纺,002656
金雷股份,风电设备,300443
麦克奥迪,医疗器械,300341
筑博设计,建筑装饰,300564
兴民智通,汽车零部件,002355
安路科技,半导体,688107
汇成真空,专用设备,301392
利安隆,化学制品,300596
奥泰生物,医疗器械,688606
中国天楹,环境治理,000035
鹏鼎控股,元件,002938
东威科技,专用设备,688700
贵绳股份,通用设备,600992
兆日科技,计算机设备,300333
晶澳科技,光伏设备,002459
*ST金比,服装家纺,002762
中国宝安,电池,000009
兴业证券,证券,601377
信达地产,房地产,600657
南京新百,综合,600682
航天智装,计算机设备,300455
深纺织Ａ,光学光电子,000045
中科软,软件开发,603927
华蓝集团,建筑装饰,301027
同和药业,化学制药,300636
天成自控,汽车零部件,603085
中集环科,通用设备,301559
聚石化学,塑料制品,688669
百傲化学,农化制品,603360
宁波华翔,汽车零部件,002048
好想你,食品加工制造,002582
保利发展,房地产,600048
扬杰科技,半导体,300373
珈伟新能,电力,300317
TCL智家,白色家电,002668
博雅生物,生物制品,300294
ST海泰,房地产,600082
海力风电,风电设备,301155
大北农,农产品加工,002385
宁波远洋,港口航运,601022
宇邦新材,光伏设备,301266
鼎际得,化学制品,603255
喜悦智行,包装印刷,301198
锡装股份,专用设备,001332
海天精工,通用设备,601882
世纪天鸿,文化传媒,300654
恒光股份,化学原料,301118
太极股份,IT服务,002368
上海凯宝,中药,300039
长华集团,汽车零部件,605018
振华股份,化学原料,603067
元隆雅图,文化传媒,002878
碧兴物联,环保设备,688671
复旦张江,化学制药,688505
中交设计,建筑装饰,600720
广汇物流,物流,600603
大连友谊,零售,000679
华强科技,医疗器械,688151
中国铀业,小金属,001280
济高发展,医疗器械,600807
重庆港,港口航运,600279
民丰特纸,造纸,600235
国海证券,证券,000750
东方嘉盛,物流,002889
常熟汽饰,汽车零部件,603035
五洲交通,公路铁路运输,600368
ST智知,IT服务,603869
东岳硅材,化学制品,300821
比音勒芬,服装家纺,002832
英利汽车,汽车零部件,601279
金达威,食品加工制造,002626
仁智股份,建筑装饰,002629
思特威-W,半导体,688213
福瑞医科,医疗器械,300049
天通股份,电子化学品,600330
浙江震元,医药商业,000705
采纳股份,医疗器械,301122
容大感光,电子化学品,300576
华峰化学,化学纤维,002064
益盛药业,中药,002566
菲林格尔,家居用品,603226
金房能源,电力,001210
寒武纪,半导体,688256
华天酒店,旅游及酒店,000428
峨眉山Ａ,旅游及酒店,000888
众望布艺,服装家纺,605003
天虹股份,零售,002419
东珠生态,环境治理,603359
芯海科技,半导体,688595
通达海,软件开发,301378
艾可蓝,汽车零部件,300816
卧龙新能,电力,600173
泰永长征,电网设备,002927
豪迈科技,专用设备,002595
华安证券,证券,600909
佳云科技,文化传媒,300242
中国核建,建筑装饰,601611
索宝蛋白,农产品加工,603231
惠云钛业,化学原料,300891
苏盐井神,化学原料,603299
森源电气,电网设备,002358
新五丰,养殖业,600975
基蛋生物,医疗器械,603387
澳洋健康,医疗服务,002172
晶方科技,半导体,603005
新强联,风电设备,300850
世龙实业,化学原料,002748
思特奇,软件开发,300608
江龙船艇,军工装备,300589
达嘉维康,医药商业,301126
新宁物流,物流,300013
凯瑞德,贸易,002072
东北证券,证券,000686
广弘控股,食品加工制造,000529
华兰生物,生物制品,002007
上海临港,房地产,600848
宁波联合,综合,600051
华宝新能,电池,301327
湖北广电,文化传媒,000665
三六零,软件开发,601360
德必集团,零售,300947
金溢科技,计算机设备,002869
辰欣药业,化学制药,603367
塞力医疗,医药商业,603716
博士眼镜,零售,300622
通力科技,通用设备,301255
九典制药,化学制药,300705
彩讯股份,IT服务,300634
宏源药业,化学制药,301246
蒙泰高新,化学纤维,300876
常青股份,汽车零部件,603768
酷特智能,服装家纺,300840
*ST亚振,家居用品,603389
杭州银行,银行,600926
世纪瑞尔,IT服务,300150
申通地铁,公路铁路运输,600834
榕基软件,IT服务,002474
奕瑞科技,医疗器械,688301
顶点软件,软件开发,603383
财达证券,证券,600906
开普检测,其他社会服务,003008
天富龙,化学纤维,603406
中国武夷,房地产,000797
国盛智科,通用设备,688558
安旭生物,医疗器械,688075
四川美丰,农化制品,000731
派克新材,军工装备,605123
ST西发,饮料制造,000752
渝三峡Ａ,化学制品,000565
四川双马,多元金融,000935
欣贺股份,服装家纺,003016
盛帮股份,汽车零部件,301233
ST宁科,化学制品,600165
扬帆新材,化学制品,300637
兆新股份,电力,002256
正元地信,IT服务,688509
友好集团,零售,600778
神州高铁,轨交设备,000008
宁波海运,港口航运,600798
昭衍新药,医疗服务,603127
保隆科技,汽车零部件,603197
昊帆生物,生物制品,301393
华阳智能,电机,301502
鸿特科技,汽车零部件,300176
西部证券,证券,002673
北辰实业,其他社会服务,601588
优优绿能,其他电源设备,301590
信隆健康,汽车服务及其他,002105
天宇股份,化学制药,300702
美年健康,医疗服务,002044
九牧王,服装家纺,601566
香江控股,零售,600162
江航装备,军工装备,688586
亚通精工,汽车零部件,603190
藏格矿业,农化制品,000408
*ST惠程,化学制药,002168
五矿资本,多元金融,600390
恒尚节能,建筑装饰,603137
建设工业,军工装备,002265
民和股份,养殖业,002234
春光科技,白色家电,603657
宣亚国际,文化传媒,300612
威帝股份,汽车零部件,603023
海正药业,化学制药,600267
大禹节水,种植业与林业,300021
德冠新材,塑料制品,001378
凯淳股份,互联网电商,301001
广百股份,零售,002187
赛微微电,半导体,688325
中铁装配,建筑材料,300374
中化装备,专用设备,600579
浙商证券,证券,601878
康美药业,中药,600518
迅游科技,游戏,300467
歌力思,服装家纺,603808
宏川智慧,物流,002930
电科数字,IT服务,600850
福莱特,光伏设备,601865
全新好,零售,000007
吉林敖东,中药,000623
华勤技术,消费电子,603296
佳驰科技,军工装备,688708
卫信康,化学制药,603676
金隅集团,建筑材料,601992
中核科技,通用设备,000777
壹网壹创,互联网电商,300792
健尔康,医疗器械,603205
城投控股,房地产,600649
禾元生物-U,生物制品,688765
华安鑫创,汽车零部件,300928
卓创资讯,文化传媒,301299
江化微,电子化学品,603078
远信工业,专用设备,301053
南天信息,软件开发,000948
哈铁科技,轨交设备,688459
红日药业,中药,300026
百洋股份,农产品加工,002696
正虹科技,农产品加工,000702
长亮科技,软件开发,300348
神火股份,工业金属,000933
*ST金灵,通用设备,300091
清源股份,光伏设备,603628
祥源文旅,旅游及酒店,600576
密封科技,汽车零部件,301020
证通电子,IT服务,002197
颀中科技,半导体,688352
九强生物,医疗器械,300406
峰璟股份,汽车零部件,002662
三力制药,中药,603439
振华风光,军工电子,688439
ST百灵,中药,002424
万事利,纺织制造,301066
ST葫芦娃,中药,605199
赛维时代,互联网电商,301381
国投资本,证券,600061
振江股份,风电设备,603507
科前生物,养殖业,688526
东方明珠,文化传媒,600637
建研设计,建筑装饰,301167
海峡股份,港口航运,002320
寿仙谷,中药,603896
财通证券,证券,601108
麦迪科技,软件开发,603990
彩蝶实业,纺织制造,603073
网宿科技,IT服务,300017
沙河股份,房地产,000014
濮耐股份,建筑材料,002225
天元宠物,家居用品,301335
卓锦股份,环境治理,688701
百纳千成,影视院线,300291
回盛生物,养殖业,300871
金逸影视,影视院线,002905
贵航股份,汽车零部件,600523
瑞贝卡,服装家纺,600439
金禾实业,化学制品,002597
复旦微电,半导体,688385
公元股份,建筑材料,002641
海阳科技,化学纤维,603382
河化股份,化学制药,000953
上海物贸,汽车服务及其他,600822
麦趣尔,食品加工制造,002719
同宇新材,电子化学品,301630
渤海化学,石油加工贸易,600800
日月股份,风电设备,603218
思维列控,计算机设备,603508
东安动力,汽车零部件,600178
奇精机械,白色家电,603677
赛科希德,医疗器械,688338
特发信息,通信设备,000070
木林森,光学光电子,002745
锦江航运,港口航运,601083
宏达股份,农化制品,600331
ST章鼓,通用设备,002598
楚环科技,环保设备,001336
佛山照明,光学光电子,000541
维峰电子,其他电子,301328
顺控发展,环境治理,003039
中钢天源,其他社会服务,002057
龙建股份,建筑装饰,600853
先锋新材,家居用品,300163
中远海科,IT服务,002401
圣湘生物,医疗器械,688289
宿迁联盛,化学制品,603065
北巴传媒,汽车服务及其他,600386
恒基达鑫,物流,002492
光环新网,通信服务,300383
福石控股,文化传媒,300071
新亚电子,消费电子,605277
中国交建,建筑装饰,601800
城建发展,房地产,600266
中荣股份,包装印刷,301223
强力新材,电子化学品,300429
中国电研,专用设备,688128
积成电子,电网设备,002339
慈星股份,专用设备,300307
金自天正,专用设备,600560
长海股份,建筑材料,300196
中盐化工,化学原料,600328
荣盛石化,石油加工贸易,002493
蓝色光标,文化传媒,300058
普联软件,软件开发,300996
金盘科技,电网设备,688676
华联股份,零售,000882
全柴动力,汽车零部件,600218
祥龙电业,环境治理,600769
ST司特,农化制品,002538
科大讯飞,软件开发,002230
新莱福,金属新材料,301323
爱婴室,零售,603214
极米科技,黑色家电,688696
呈和科技,化学制品,688625
富吉瑞,军工电子,688272
友升股份,汽车零部件,603418
华斯股份,服装家纺,002494
新亚电缆,电网设备,001382
朗玛信息,IT服务,300288
利仁科技,小家电,001259
华电科工,建筑装饰,601226
中设股份,建筑装饰,002883
达威股份,化学制品,300535
日科化学,化学制品,300214
翱捷科技-U,半导体,688220
光格科技,电网设备,688450
光启技术,军工装备,002625
国科恒泰,医药商业,301370
文灿股份,汽车零部件,603348
濮阳惠成,电子化学品,300481
方正科技,元件,600601
机器人,自动化设备,300024
纽威股份,通用设备,603699
荣联科技,IT服务,002642
华夏航空,机场航运,002928
哈药股份,化学制药,600664
天益医疗,医疗器械,301097
三友医疗,医疗器械,688085
硅宝科技,化学制品,300019
博威合金,金属新材料,601137
水羊股份,美容护理,300740
张江高科,房地产,600895
华丰股份,通用设备,605100
侨源股份,化学制品,301286
富临运业,公路铁路运输,002357
如意集团,服装家纺,002193
奇安信-U,软件开发,688561
蓝天燃气,燃气,605368
药石科技,医疗服务,300725
钱江摩托,汽车服务及其他,000913
得利斯,食品加工制造,002330
沙钢股份,钢铁,002075
光线传媒,影视院线,300251
英派斯,家居用品,002899
必易微,半导体,688045
远翔新材,橡胶制品,301300
远东传动,汽车零部件,002406
森马服饰,服装家纺,002563
炬华科技,电网设备,300360
埃科光电,通用设备,688610
盘古智能,风电设备,301456
华鼎股份,化学纤维,601113
用友网络,软件开发,600588
大普微,半导体,301666
陇神戎发,中药,300534
思创智联,IT服务,300078
南凌科技,通信服务,300921
国联水产,养殖业,300094
华北制药,化学制药,600812
川恒股份,农化制品,002895
迦南科技,专用设备,300412
华中数控,通用设备,300161
良信股份,电网设备,002706
华懋科技,汽车零部件,603306
安居宝,计算机设备,300155
拓邦股份,消费电子,002139
捷顺科技,IT服务,002609
奥特维,光伏设备,688516
天元智能,工程机械,603273
悦达投资,综合,600805
三美股份,化学制品,603379
科德教育,教育,300192
宇信科技,IT服务,300674
中兴通讯,通信设备,000063
奥佳华,小家电,002614
康惠股份,中药,603139
新疆交建,建筑装饰,002941
华之杰,通用设备,603400
润阳科技,塑料制品,300920
太平洋,证券,601099
三一重能,风电设备,688349
运机集团,专用设备,001288
一博科技,元件,301366
金智科技,电网设备,002090
新华保险,保险,601336
特  力Ａ,综合,000025
天风证券,证券,601162
杉杉股份,光学光电子,600884
宁水集团,通用设备,603700
唯捷创芯,半导体,688153
延华智能,软件开发,002178
长城证券,证券,002939
霍普股份,建筑装饰,301024
方直科技,软件开发,300235
复洁科技,环保设备,688335
中国黄金,服装家纺,600916
安科生物,生物制品,300009
松芝股份,汽车零部件,002454
北新路桥,建筑装饰,002307
*ST南置,零售,002305
四方光电,通用设备,688665
博通股份,教育,600455
*ST中地,房地产,000736
*ST大立,军工电子,002214
新凤鸣,化学纤维,603225
久远银海,IT服务,002777
美康生物,医疗器械,300439
东方生物,医疗器械,688298
翔腾新材,光学光电子,001373
上海三毛,综合,600689
海鸥住工,家居用品,002084
智莱科技,计算机设备,300771
中金辐照,其他社会服务,300962
久其软件,软件开发,002279
大豪科技,自动化设备,603025
万林物流,物流,603117
晋西车轴,轨交设备,600495
同为股份,计算机设备,002835
友阿股份,零售,002277
益生股份,养殖业,002458
ST诺泰,化学制药,688076
中源协和,医疗器械,600645
利君股份,军工装备,002651
崇德科技,通用设备,301548
富煌钢构,建筑装饰,002743
西大门,家居用品,605155
万润股份,电子化学品,002643
通行宝,计算机设备,301339
力源科技,环境治理,688565
电投能源,煤炭开采加工,002128
特发服务,房地产,300917
际华集团,服装家纺,601718
浪潮软件,IT服务,600756
*ST辉丰,农化制品,002496
宏和科技,电子化学品,603256
我爱我家,房地产,000560
德创环保,环境治理,603177
海航控股,机场航运,600221
博力威,电池,688345
圣元环保,环境治理,300867
*ST绿康,养殖业,002868
伊之密,专用设备,300415
华侨城Ａ,旅游及酒店,000069
融捷健康,小家电,300247
华联控股,房地产,000036
圣达生物,化学制品,603079
神奇制药,化学制药,600613
杭可科技,电池,688006
华宇软件,软件开发,300271
尤安设计,建筑装饰,300983
可靠股份,美容护理,301009
环球印务,包装印刷,002799
海看股份,文化传媒,301262
威迈斯,汽车零部件,688612
艾德生物,医疗器械,300685
宏盛股份,通用设备,603090
春立医疗,医疗器械,688236
亿联网络,通信设备,300628
长联科技,化学制品,301618
新北洋,计算机设备,002376
新炬网络,IT服务,605398
电子城,房地产,600658
西高院,其他社会服务,688334
金海通,半导体,603061
生益科技,元件,600183
正海生物,医疗器械,300653
申联生物,养殖业,688098
亚宝药业,中药,600351
垒知集团,建筑材料,002398
德福科技,电池,301511
蓝宇股份,化学制品,301585
新余国科,军工装备,300722
福然德,物流,605050
光大证券,证券,601788
*ST金科,房地产,000656
金桥信息,IT服务,603918
航天彩虹,军工装备,002389
信科移动-U,通信设备,688387
圣诺生物,化学制药,688117
德昌股份,小家电,605555
天保基建,房地产,000965
ST名家汇,建筑装饰,300506
双元科技,自动化设备,688623
ST中珠,医疗服务,600568
泰福泵业,通用设备,300992
协创数据,计算机设备,300857
数字政通,软件开发,300075
绿能慧充,其他电源设备,600212
海锅股份,专用设备,301063
创维数字,黑色家电,000810
安阳钢铁,钢铁,600569
中天服务,房地产,002188
锐科激光,自动化设备,300747
海南高速,公路铁路运输,000886
南卫股份,医疗器械,603880
美格智能,通信设备,002881
新力金融,多元金融,600318
建龙微纳,化学制品,688357
福莱蒽特,化学制品,605566
伊戈尔,其他电子,002922
成都路桥,建筑装饰,002628
山西证券,证券,002500
青龙管业,建筑材料,002457
东华软件,IT服务,002065
华森制药,中药,002907
华阳集团,汽车零部件,002906
风华高科,元件,000636
先河环保,环保设备,300137
黄山胶囊,医疗器械,002817
唐人神,农产品加工,002567
东华科技,建筑装饰,002140
雪祺电气,白色家电,001387
慈文传媒,影视院线,002343
君亭酒店,旅游及酒店,301073
博实股份,自动化设备,002698
津滨发展,房地产,000897
*ST大晟,游戏,600892
倍轻松,小家电,688793
盛通股份,包装印刷,002599
万胜智能,电网设备,300882
宝馨科技,通用设备,002514
掌阅科技,文化传媒,603533
天正电气,电网设备,605066
三雄极光,光学光电子,300625
*ST交投,建筑装饰,002200
东方财富,证券,300059
怡球资源,工业金属,601388
智度股份,文化传媒,000676
巨星科技,通用设备,002444
德生科技,IT服务,002908
江苏国泰,贸易,002091
中岩大地,建筑装饰,003001
长白山,旅游及酒店,603099
潮宏基,服装家纺,002345
艾力斯,化学制药,688578
丝路视觉,软件开发,300556
恒生电子,软件开发,600570
恒玄科技,半导体,688608
华伍股份,专用设备,300095
华培动力,汽车零部件,603121
阿尔特,汽车服务及其他,300825
中孚信息,计算机设备,300659
爱旭股份,光伏设备,600732
成飞集成,汽车零部件,002190
郴电国际,电力,600969
昂利康,化学制药,002940
诺禾致源,医疗服务,688315
百奥泰,生物制品,688177
泰禾股份,农化制品,301665
建科智能,专用设备,300823
合力科技,汽车零部件,603917
万达信息,IT服务,300168
埃斯顿,自动化设备,002747
*ST三圣,化学制药,002742
蔚蓝生物,化学制品,603739
振邦智能,白色家电,003028
瑞普生物,养殖业,300119
圣农发展,养殖业,002299
康冠科技,光学光电子,001308
万里马,服装家纺,300591
金冠股份,电网设备,300510
众业达,电网设备,002441
启明信息,IT服务,002232
旗滨集团,建筑材料,601636
大连热电,电力,600719
顺威股份,白色家电,002676
浩物股份,汽车服务及其他,000757
*ST美谷,美容护理,000615
雅本化学,农化制品,300261
同益中,化学纤维,688722
利德曼,医疗器械,300289
爱迪特,医疗器械,301580
紫光国微,半导体,002049
云南城投,零售,600239
依米康,计算机设备,300249
测绘股份,建筑装饰,300826
海汽集团,公路铁路运输,603069
广大特材,风电设备,688186
先锋电子,通用设备,002767
网达软件,软件开发,603189
格科微,半导体,688728
林海股份,汽车服务及其他,600099
永臻股份,光伏设备,603381
龙软科技,软件开发,688078
华纬科技,汽车零部件,001380
中国铝业,工业金属,601600
长春一东,汽车零部件,600148
冠龙节能,通用设备,301151
雅克科技,半导体,002409
大西洋,通用设备,600558
凯旺科技,消费电子,301182
久日新材,化学制品,688199
ST嘉澳,化学制品,603822
太平鸟,服装家纺,603877
新兴铸管,钢铁,000778
上海亚虹,专用设备,603159
恒实科技,通信服务,300513
佳士科技,通用设备,300193
楚江新材,工业金属,002171
邦彦技术,军工电子,688132
电科芯片,半导体,600877
梅轮电梯,专用设备,603321
国信证券,证券,002736
利欧股份,通用设备,002131
大明电子,汽车零部件,603376
森霸传感,光学光电子,300701
万安科技,汽车零部件,002590
南 京 港,港口航运,002040
中兵红箭,军工装备,000519
密尔克卫,物流,603713
金徽股份,工业金属,603132
凤凰航运,港口航运,000520
联动科技,半导体,301369
福星股份,房地产,000926
新光药业,中药,300519
澳华内镜,医疗器械,688212
津膜科技,塑料制品,300334
芭田股份,农化制品,002170
三七互娱,游戏,002555
中银证券,证券,601696
有研硅,半导体,688432
亚翔集成,建筑装饰,603929
东方锆业,小金属,002167
中远通,其他电源设备,301516
南威软件,IT服务,603636
光力科技,专用设备,300480
天晟新材,化学制品,300169
玉马科技,家居用品,300993
康泰医学,医疗器械,300869
希荻微,半导体,688173
河钢资源,钢铁,000923
中国海诚,建筑装饰,002116
民生健康,化学制药,301507
利群股份,零售,601366
博瑞传播,软件开发,600880
生物股份,养殖业,600201
安邦护卫,其他社会服务,603373
龙溪股份,通用设备,600592
合百集团,零售,000417
绿通科技,汽车服务及其他,301322
高德红外,军工电子,002414
日辰股份,食品加工制造,603755
ST朗源,农产品加工,300175
中微公司,半导体,688012
恒丰纸业,造纸,600356
华泰证券,证券,601688
川网传媒,文化传媒,300987
天鹅股份,专用设备,603029
保利联合,化学制品,002037
昊创瑞通,电网设备,301668
渤海汽车,汽车零部件,600960
诚达药业,医疗服务,301201
杭齿前进,通用设备,601177
工大高科,轨交设备,688367
智云股份,自动化设备,300097
楚天高速,公路铁路运输,600035
能科科技,IT服务,603859
京基智农,养殖业,000048
光大嘉宝,房地产,600622
科华生物,医疗器械,002022
东信和平,通信设备,002017
中农联合,农化制品,003042
汉朔科技,其他电子,301275
汉桑科技,消费电子,301491
天秦装备,军工装备,300922
惠泰医疗,医疗器械,688617
隆利科技,光学光电子,300752
豪恩汽电,汽车零部件,301488
立昂技术,通信服务,300603
迪阿股份,服装家纺,301177
泰禾智能,专用设备,603656
中航光电,军工电子,002179
金鹰重工,轨交设备,301048
易瑞生物,医疗器械,300942
富满微,半导体,300671
杭州柯林,电网设备,688611
光庭信息,软件开发,301221
东方中科,通用设备,002819
海兰信,军工装备,300065
永安药业,化学制药,002365
大博医疗,医疗器械,002901
南大环境,环境治理,300864
赢合科技,电池,300457
三峡新材,建筑材料,600293
如通股份,专用设备,603036
迪安诊断,医疗服务,300244
金迪克,生物制品,688670
和达科技,软件开发,688296
瑞立科密,汽车零部件,001285
中科信息,IT服务,300678
罗曼股份,建筑装饰,605289
湘财股份,证券,600095
捷昌驱动,自动化设备,603583
星环科技-U,软件开发,688031
曲江文旅,旅游及酒店,600706
瑞凌股份,通用设备,300154
遥望科技,文化传媒,002291
长光华芯,半导体,688048
大洋电机,电机,002249
ST天圣,化学制药,002872
佳隆股份,食品加工制造,002495
山河智能,工程机械,002097
苏州固锝,光伏设备,002079
冀东装备,专用设备,000856
北自科技,通用设备,603082
威海广泰,军工装备,002111
瑞鹄模具,汽车零部件,002997
吉大通信,通信服务,300597
睿昂基因,医疗器械,688217
亚盛集团,种植业与林业,600108
汇金通,电网设备,603577
三羊马,物流,001317
艾隆科技,自动化设备,688329
优宁维,生物制品,301166
药易购,医药商业,300937
安控科技,通用设备,300370
南山控股,房地产,002314
信捷电气,自动化设备,603416
强邦新材,包装印刷,001279
江淮汽车,汽车整车,600418
福元医药,化学制药,601089
蒙草生态,环境治理,300355
凯立新材,化学制品,688269
康拓医疗,医疗器械,688314
传音控股,消费电子,688036
久立特材,钢铁,002318
威马农机,专用设备,301533
ST复华,化学制药,600624
西藏天路,建筑材料,600326
润欣科技,其他电子,300493
比亚迪,汽车整车,002594
欣天科技,通信设备,300615
